Plant Size;Location;TRL;Upgrade Frequency;Project Duration;Production Capacity;Production Price;Selling Price;Environmental Impact;Financial Viability
Large;Urban;7;3 years;24 months;100000;$50;$75;Low;Yes
Medium;Rural;4;5 years;36 months;50000;$75;$100;High;No
Small;Suburban;8;2 years;12 months;20000;$100;$150;Medium;Yes
Medium;Urban;5;4 years;18 months;30000;$80;$120;Low;No
Large;Rural;9;1 year;36 months;150000;$60;$90;High;Yes
Small;Suburban;6;3 years;24 months;10000;$120;$180;Medium;Yes
Large;Urban;8;2 years;24 months;120000;$55;$85;Low;Yes
Medium;Rural;3;5 years;36 months;40000;$80;$110;High;No
Large;Urban;7;3 years;24 months;100000;$50;$75;Low;Yes
Medium;Rural;4;5 years;36 months;50000;$75;$100;High;No
Small;Suburban;8;2 years;12 months;20000;$100;$150;Medium;Yes
Medium;Urban;5;4 years;18 months;30000;$80;$120;Low;No
Large;Rural;9;1 year;36 months;150000;$60;$90;High;Yes
Small;Suburban;6;3 years;24 months;10000;$120;$180;Medium;Yes
Large;Urban;8;2 years;24 months;120000;$55;$85;Low;Yes
Medium;Rural;3;5 years;36 months;40000;$80;$110;High;No
Small;Urban;10;2 years;12 months;30000;$200;$300;Low;No
Medium;Suburban;7;4 years;24 months;60000;$70;$100;Medium;Yes
Small;Rural;2;6 years;48 months;10000;$150;$250;High;No
Medium;Urban;4;3 years;18 months;25000;$90;$130;Low;No
Large;Suburban;11;1 year;12 months;180000;$40;$70;Low;Yes
Small;Urban;9;2 years;24 months;15000;$150;$200;Medium;No
Large;Rural;10;3 years;36 months;200000;$55;$80;High;Yes
Small;Suburban;7;4 years;24 months;12000;$100;$150;Low;Yes
Medium;Urban;3;5 years;36 months;35000;$85;$120;High;No
Large;Suburban;12;2 years;12 months;220000;$50;$80;Medium;No
Small;Rural;1;7 years;60 months;5000;$200;$400;High;No
Medium;Urban;6;3 years;18 months;28000;$90;$130;Low;Yes
Small;Rural;5;2 years;18 months;15000 units;$100/unit;$150/unit;Low;No
Medium;Suburban;6;3 years;24 months;25000 units;$80/unit;$120/unit;High;Yes
Large;Urban;8;4 years;36 months;100000 units;$60/unit;$90/unit;Medium;Yes
Medium;Rural;4;5 years;12 months;20000 units;$120/unit;$180/unit;Low;No
Small;Suburban;7;2 years;24 months;5000 units;$150/unit;$200/unit;High;Yes
Large;Urban;9;1 year;36 months;150000 units;$50/unit;$75/unit;Medium;Yes
Small;Rural;6;3 years;18 months;10000 units;$110/unit;$165/unit;Low;No
Medium;Suburban;5;4 years;24 months;30000 units;$90/unit;$135/unit;High;Yes
Large;Rural;8;2 years;36 months;120000 units;$55/unit;$82.5/unit;Medium;Yes
Small;Urban;4;5 years;12 months;5000 units;$140/unit;$210/unit;Low;No
Medium;Suburban;7;2 years;18 months;35000 units;$70/unit;$105/unit;High;Yes
Large;Rural;9;3 years;24 months;200000 units;$45/unit;$67.5/unit;Medium;Yes
Small;Urban;6;4 years;36 months;10000 units;$100/unit;$150/unit;Low;No
Medium;Suburban;4;5 years;12 months;15000 units;$125/unit;$187.5/unit;High;Yes
Large;Urban;7;2 years;18 months;80000 units;$65/unit;$97.5/unit;Medium;Yes
Small;Rural;8;3 years;24 months;7000 units;$130/unit;$195/unit;Low;No
Medium;Suburban;6;4 years;36 months;40000 units;$85/unit;$127.5/unit;High;Yes
Large;Rural;5;2 years;12 months;50000 units;$70/unit;$105/unit;Medium;Yes
Small;Urban;7;5 years;24 months;15000 units;$120/unit;$180/unit;Low;No
Medium;Suburban;5;3 years;18 months;30000 units;$95/unit;$142.5/unit;High;Yes
Large;Urban;9;2 years;24 months;130000 units;$52/unit;$78/unit;Medium;Yes
Small;Rural;4;4 years;36 months;8000 units;$115/unit;$172.5/unit;Low;No
Medium;Suburban;8;3 years;24 months;45000 units;$75/unit;$112.5/unit;High;Yes
Large;Rural;6;5 years;12 months;100000 units;$65/unit;$97.5/unit;Medium;Yes
Small;Urban;5;2 years;18 months;7000 units;$135/unit;$202.5/unit;Low;No
Medium;Suburban;7;4 years;36 months;50000 units;$90/unit;$135/unit;High;Yes
Large;Rural;9;1 year;36 months;150,000 units;$60/unit;$90/unit;High;Yes
Small;Urban;4;5 years;12 months;5,000 units;$150/unit;$200/unit;Medium;No
Medium;Suburban;7;2 years;24 months;60,000 units;$70/unit;$110/unit;Low;Yes
Large;Urban;8;3 years;36 months;120,000 units;$55/unit;$85/unit;Low;Yes
Small;Rural;6;4 years;18 months;15,000 units;$100/unit;$140/unit;High;No
Medium;Suburban;3;5 years;24 months;40,000 units;$80/unit;$120/unit;High;No
Small;Urban;5;3 years;12 months;10,000 units;$120/unit;$180/unit;Medium;Yes
Large;Rural;7;2 years;24 months;130,000 units;$58/unit;$88/unit;Low;Yes
Medium;Urban;9;1 year;36 months;50,000 units;$75/unit;$110/unit;High;Yes
Small;Suburban;2;6 years;18 months;8,000 units;$130/unit;$200/unit;Low;No
Large;Rural;4;4 years;36 months;110,000 units;$62/unit;$92/unit;High;Yes
Small;Urban;8;3 years;24 months;12,000 units;$110/unit;$160/unit;Medium;Yes
Medium;Suburban;6;2 years;18 months;25,000 units;$90/unit;$130/unit;Low;No
Small;Rural;7;1 year;12 months;7,000 units;$140/unit;$200/unit;High;No
Large;Urban;5;5 years;36 months;140,000 units;$65/unit;$100/unit;Low;Yes
Medium;Suburban;4;4 years;24 months;35,000 units;$85/unit;$120/unit;High;No



